,path,interval_folder,sector,ticker,size_bytes,size_gb
62,15_min_interval_stocks/Financials/MUFG.csv,15_min_interval_stocks,Financials,MUFG,2839853,0.0026448192074894905
63,15_min_interval_stocks/Financials/MARX.csv,15_min_interval_stocks,Financials,MARX,61613,5.738157778978348e-05
64,15_min_interval_stocks/Financials/NBH.csv,15_min_interval_stocks,Financials,NBH,5607125,0.005222042091190815
65,15_min_interval_stocks/Financials/BYM.csv,15_min_interval_stocks,Financials,BYM,6134957,0.005713623948395252
66,15_min_interval_stocks/Financials/BOE.csv,15_min_interval_stocks,Financials,BOE,6750679,0.006287059746682644
67,15_min_interval_stocks/Financials/IHT.csv,15_min_interval_stocks,Financials,IHT,1257859,0.0011714724823832512
68,15_min_interval_stocks/Financials/SIGIP.csv,15_min_interval_stocks,Financials,SIGIP,460409,0.00042878929525613785
69,15_min_interval_stocks/Financials/PGR.csv,15_min_interval_stocks,Financials,PGR,10612642,0.009883793070912361
70,15_min_interval_stocks/Financials/ENX.csv,15_min_interval_stocks,Financials,ENX,4812696,0.004482172429561615
71,15_min_interval_stocks/Financials/PFO.csv,15_min_interval_stocks,Financials,PFO,4764950,0.004437705501914024
72,15_min_interval_stocks/Financials/OPOF.csv,15_min_interval_stocks,Financials,OPOF,1172022,0.0010915305465459824
73,15_min_interval_stocks/Financials/AFGE.csv,15_min_interval_stocks,Financials,AFGE,503290,0.0004687253385782242
74,15_min_interval_stocks/Financials/PGP.csv,15_min_interval_stocks,Financials,PGP,5476513,0.005100400187075138
75,15_min_interval_stocks/Financials/CFBK.csv,15_min_interval_stocks,Financials,CFBK,1254751,0.0011685779318213463
76,15_min_interval_stocks/Financials/PHT.csv,15_min_interval_stocks,Financials,PHT,6449629,0.006006685085594654
77,15_min_interval_stocks/Financials/APLD.csv,15_min_interval_stocks,Financials,APLD,1709625,0.0015922123566269875
78,15_min_interval_stocks/Financials/VCSA.csv,15_min_interval_stocks,Financials,VCSA,1061428,0.0009885318577289581
79,15_min_interval_stocks/Financials/LUXH.csv,15_min_interval_stocks,Financials,LUXH,877724,0.0008174441754817963
80,15_min_interval_stocks/Financials/BLE.csv,15_min_interval_stocks,Financials,BLE,6286448,0.005854710936546326
81,15_min_interval_stocks/Financials/GAM.csv,15_min_interval_stocks,Financials,GAM,6920334,0.006445063278079033
82,15_min_interval_stocks/Financials/HOMB.csv,15_min_interval_stocks,Financials,HOMB,7056079,0.006571485660970211
83,15_min_interval_stocks/Financials/PTA.csv,15_min_interval_stocks,Financials,PTA,1547475,0.0014411984011530876
84,15_min_interval_stocks/Financials/FCNCO.csv,15_min_interval_stocks,Financials,FCNCO,595994,0.0005550626665353775
85,15_min_interval_stocks/Financials/SFBS.csv,15_min_interval_stocks,Financials,SFBS,4000860,0.0037260912358760834
86,15_min_interval_stocks/Financials/FBK.csv,15_min_interval_stocks,Financials,FBK,3091162,0.002878868952393532
87,15_min_interval_stocks/Financials/IBTX.csv,15_min_interval_stocks,Financials,IBTX,4285474,0.003991158679127693
