,path,interval_folder,sector,ticker,size_bytes,size_gb
21,15_min_interval_stocks/Basic_Materials/CTGO.csv,15_min_interval_stocks,Basic_Materials,CTGO,677286,0.000630771741271019
22,15_min_interval_stocks/Basic_Materials/DC.csv,15_min_interval_stocks,Basic_Materials,DC,884127,0.0008234074339270592
23,15_min_interval_stocks/Basic_Materials/DNN.csv,15_min_interval_stocks,Basic_Materials,DNN,7245188,0.0067476071417331696
24,15_min_interval_stocks/Basic_Materials/DRD.csv,15_min_interval_stocks,Basic_Materials,DRD,6575876,0.006124261766672134
25,15_min_interval_stocks/Basic_Materials/EMX.csv,15_min_interval_stocks,Basic_Materials,EMX,3140166,0.0029245074838399887
26,15_min_interval_stocks/Basic_Materials/EQX.csv,15_min_interval_stocks,Basic_Materials,EQX,2131123,0.0019847629591822624
27,15_min_interval_stocks/Basic_Materials/ERO.csv,15_min_interval_stocks,Basic_Materials,ERO,1216669,0.0011331113055348396
28,15_min_interval_stocks/Basic_Materials/EU.csv,15_min_interval_stocks,Basic_Materials,EU,748163,0.0006967810913920403
29,15_min_interval_stocks/Basic_Materials/EXK.csv,15_min_interval_stocks,Basic_Materials,EXK,6816304,0.006348177790641785
30,15_min_interval_stocks/Basic_Materials/FBIN.csv,15_min_interval_stocks,Basic_Materials,FBIN,5322823,0.004957265220582485
31,15_min_interval_stocks/Basic_Materials/FCX.csv,15_min_interval_stocks,Basic_Materials,FCX,15072035,0.014036926440894604
32,15_min_interval_stocks/Basic_Materials/FMST.csv,15_min_interval_stocks,Basic_Materials,FMST,213335,0.0001986837014555931
33,15_min_interval_stocks/Basic_Materials/FMSTW.csv,15_min_interval_stocks,Basic_Materials,FMSTW,31931,2.9738061130046844e-05
34,15_min_interval_stocks/Basic_Materials/FNV.csv,15_min_interval_stocks,Basic_Materials,FNV,5807501,0.005408656783401966
35,15_min_interval_stocks/Basic_Materials/FSM.csv,15_min_interval_stocks,Basic_Materials,FSM,5116896,0.0047654807567596436
36,15_min_interval_stocks/Basic_Materials/FURY.csv,15_min_interval_stocks,Basic_Materials,FURY,1297873,0.001208738423883915
37,15_min_interval_stocks/Basic_Materials/GATO.csv,15_min_interval_stocks,Basic_Materials,GATO,1551451,0.0014449013397097588
38,15_min_interval_stocks/Basic_Materials/GFI.csv,15_min_interval_stocks,Basic_Materials,GFI,11380343,0.010598770342767239
39,15_min_interval_stocks/Basic_Materials/GLDG.csv,15_min_interval_stocks,Basic_Materials,GLDG,1881777,0.0017525414004921913
40,15_min_interval_stocks/Basic_Materials/GOLD.csv,15_min_interval_stocks,Basic_Materials,GOLD,13405100,0.012484472244977951
41,15_min_interval_stocks/Basic_Materials/GORO.csv,15_min_interval_stocks,Basic_Materials,GORO,7058403,0.006573650054633617
42,15_min_interval_stocks/Basic_Materials/GROY.csv,15_min_interval_stocks,Basic_Materials,GROY,1632953,0.0015208059921860695
43,15_min_interval_stocks/Basic_Materials/GSM.csv,15_min_interval_stocks,Basic_Materials,GSM,6156602,0.005733782425522804
44,15_min_interval_stocks/Basic_Materials/HBM.csv,15_min_interval_stocks,Basic_Materials,HBM,5149194,0.004795560613274574
45,15_min_interval_stocks/Basic_Materials/HMY.csv,15_min_interval_stocks,Basic_Materials,HMY,10764193,0.010024935938417912
46,15_min_interval_stocks/Basic_Materials/HYMC.csv,15_min_interval_stocks,Basic_Materials,HYMC,2238052,0.002084348350763321
47,15_min_interval_stocks/Basic_Materials/HYMCL.csv,15_min_interval_stocks,Basic_Materials,HYMCL,331134,0.00030839256942272186
48,15_min_interval_stocks/Basic_Materials/HYMCW.csv,15_min_interval_stocks,Basic_Materials,HYMCW,786978,0.00073293037712574
49,15_min_interval_stocks/Basic_Materials/IAG.csv,15_min_interval_stocks,Basic_Materials,IAG,7902787,0.007360043935477734
50,15_min_interval_stocks/Basic_Materials/IAUX.csv,15_min_interval_stocks,Basic_Materials,IAUX,1030971,0.0009601665660738945
51,15_min_interval_stocks/Basic_Materials/IDR.csv,15_min_interval_stocks,Basic_Materials,IDR,566977,0.0005280384793877602
52,15_min_interval_stocks/Basic_Materials/IE.csv,15_min_interval_stocks,Basic_Materials,IE,912578,0.0008499044924974442
53,15_min_interval_stocks/Basic_Materials/IP.csv,15_min_interval_stocks,Basic_Materials,IP,10947230,0.010195402428507805
54,15_min_interval_stocks/Basic_Materials/IPX.csv,15_min_interval_stocks,Basic_Materials,IPX,411965,0.0003836723044514656
55,15_min_interval_stocks/Basic_Materials/ITRG.csv,15_min_interval_stocks,Basic_Materials,ITRG,1477694,0.001376209780573845
56,15_min_interval_stocks/Basic_Materials/JELD.csv,15_min_interval_stocks,Basic_Materials,JELD,2766847,0.002576827071607113
57,15_min_interval_stocks/Basic_Materials/KGC.csv,15_min_interval_stocks,Basic_Materials,KGC,10544532,0.009820360690355301
58,15_min_interval_stocks/Basic_Materials/KOP.csv,15_min_interval_stocks,Basic_Materials,KOP,7276846,0.006777090951800346
59,15_min_interval_stocks/Basic_Materials/LAAC.csv,15_min_interval_stocks,Basic_Materials,LAAC,709890,0.000661136582493782
60,15_min_interval_stocks/Basic_Materials/LAC.csv,15_min_interval_stocks,Basic_Materials,LAC,5192187,0.0048356009647250175
61,15_min_interval_stocks/Basic_Materials/LITM.csv,15_min_interval_stocks,Basic_Materials,LITM,1018318,0.0009483825415372849
62,15_min_interval_stocks/Basic_Materials/LPX.csv,15_min_interval_stocks,Basic_Materials,LPX,10136013,0.00943989772349596
63,15_min_interval_stocks/Basic_Materials/LZM.csv,15_min_interval_stocks,Basic_Materials,LZM,432723,0.0004030046984553337
64,15_min_interval_stocks/Basic_Materials/MAG.csv,15_min_interval_stocks,Basic_Materials,MAG,7104113,0.006616220809519291
65,15_min_interval_stocks/Basic_Materials/MAGN.csv,15_min_interval_stocks,Basic_Materials,MAGN,33387,3.109406679868698e-05
